City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
276,Labuhan,ID,86.32,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
277,Sainte-Rose,GP,75.2,broken clouds,16.3324,-61.6979,Villa - Duzer
278,Ariquemes,BR,72.1,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
280,Gushikawa,JP,77.0,overcast clouds,26.3544,127.8686,Kirari Guest House
281,Sulangan,PH,83.48,broken clouds,11.1373,123.7228,Maia's Beach Resort
282,Bilma,NE,82.27,clear sky,18.6853,12.9164,Expeditions Ténére voyages
287,Emerald,AU,84.2,clear sky,-23.5333,148.1667,The Irish Village
288,Kavaratti,IN,84.79,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
293,Saint-Philippe,RE,81.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
298,Airai,TL,71.83,scattered clouds,-8.9266,125.4092,Juvinal Martin
300,Lorengau,PG,82.72,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
303,Phan Thiet,VN,91.76,scattered clouds,10.9333,108.1,Hotel Saigon-PT
305,Ventanas,EC,74.5,moderate rain,-1.45,-79.4667,Hotel Kalabi INN
313,Paciran,ID,86.31,scattered clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
316,Geraldton,AU,86.0,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
321,Longos,PH,88.5,few clouds,16.1066,120.3954,A-venue Beach Resort
325,Inhambane,MZ,66.2,few clouds,-23.865,35.3833,Oceano
326,Poso,ID,86.43,scattered clouds,-1.3959,120.7524,Hotel 77 Poso
329,Caravelas,BR,73.0,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
330,Alofi,NU,80.6,broken clouds,-19.0595,-169.9187,Taloa Heights
332,Porto Novo,BJ,78.8,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
334,Iquitos,PE,77.0,few clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
335,Qui Nhon,VN,87.48,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
338,San Andres,CO,80.6,few clouds,12.5847,-81.7006,Hotel Arena Blanca
346,Choix,MX,70.39,clear sky,26.7092,-108.3219,Hotel Montesclaros
347,Gizo,SB,85.17,scattered clouds,-8.103,156.8419,Imagination Island
348,Sokode,TG,72.79,overcast clouds,8.9833,1.1333,فندق ايسوفا سوكودى
349,Jaumave,MX,70.0,overcast clouds,23.4167,-99.3833,Hotel Las Guacamayas
350,Cartagena,CO,80.6,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
352,Gainesville,US,75.99,scattered clouds,29.6516,-82.3248,Holiday Inn Gainesville-University Ctr
