City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
346,Sao Joao Da Barra,54,BR,2021-04-20 23:41:48,73,-21.6403,-41.0511,72.09,14.47
347,Sur,2,OM,2021-04-20 23:41:49,37,22.5667,59.5289,82.51,9.33
348,Mizan Teferi,97,ET,2021-04-20 23:41:49,56,6.9833,35.5833,67.42,3.22
349,Grootfontein,0,NA,2021-04-20 23:41:50,81,-19.5667,18.1167,48.2,4.0
350,Buala,51,SB,2021-04-20 23:41:50,68,-8.145,159.5921,86.47,5.91
351,Roma,90,US,2021-04-20 23:41:16,57,43.2128,-75.4557,44.6,6.91
352,Iranshahr,0,IR,2021-04-20 23:41:51,15,27.2025,60.6848,76.71,3.83
353,Nichinan,20,JP,2021-04-20 23:41:51,59,31.6,131.3667,62.6,6.91
354,Makanya,93,TZ,2021-04-20 23:41:52,93,-4.3667,37.8333,66.65,5.06
355,Poya,58,NC,2021-04-20 23:41:52,72,-21.35,165.15,79.63,5.14
356,Hofn,14,IS,2021-04-20 23:41:53,43,64.2539,-15.2082,36.91,7.81
357,Geraldton,0,AU,2021-04-20 23:41:53,63,-28.7667,114.6,64.4,13.8
358,Narsaq,75,GL,2021-04-20 23:41:54,56,60.9167,-46.05,37.4,4.61
359,Lodwar,80,KE,2021-04-20 23:41:54,54,3.1191,35.5973,82.87,12.97
360,Bugulma,70,RU,2021-04-20 23:41:55,54,54.55,52.8,33.4,8.88
361,Bafata,12,GW,2021-04-20 23:40:23,57,12.1667,-14.75,78.91,7.67
362,Chulym,100,RU,2021-04-20 23:41:55,90,55.0997,80.9572,25.03,14.79
363,Evensk,96,RU,2021-04-20 23:41:56,82,61.95,159.2333,31.68,12.84
364,Mogadouro,50,PT,2021-04-20 23:41:56,86,41.3403,-6.7119,46.99,1.97
365,Talcahuano,90,CL,2021-04-20 23:41:21,94,-36.7167,-73.1167,57.2,5.75
366,Comodoro Rivadavia,0,AR,2021-04-20 23:40:17,81,-45.8667,-67.5,50.0,6.73
367,Siaya,100,KE,2021-04-20 23:41:57,95,0.0612,34.2882,62.42,3.76
368,Ziway,87,ET,2021-04-20 23:41:01,47,7.9333,38.7167,67.51,7.31
369,Haines Junction,51,CA,2021-04-20 23:41:58,43,60.7522,-137.5108,48.2,10.36
370,Roald,90,NO,2021-04-20 23:41:59,93,62.5833,6.1333,37.4,9.22
371,Antalya,0,TR,2021-04-20 23:41:59,82,36.7741,30.7178,55.4,5.75
372,Komsomolskiy,75,UZ,2021-04-20 23:42:00,82,40.4272,71.7189,55.4,9.22
373,Tifton,1,US,2021-04-20 23:42:00,35,31.4505,-83.5085,75.2,3.44
374,Knysna,0,ZA,2021-04-20 23:42:01,100,-34.0363,23.0471,57.2,3.44
375,Fairbanks,1,US,2021-04-20 23:41:13,33,64.8378,-147.7164,45.0,10.36
376,Walvis Bay,14,NA,2021-04-20 23:42:01,44,-22.9575,14.5053,79.0,3.36
377,Kathu,20,TH,2021-04-20 23:42:02,100,7.9178,98.3332,84.0,1.14
378,Carutapera,99,BR,2021-04-20 23:42:02,91,-1.195,-46.02,75.25,3.78
379,Iwo,85,NG,2021-04-20 23:42:03,94,7.6333,4.1833,75.38,2.95
380,Farmington,1,US,2021-04-20 23:41:47,14,36.7281,-108.2187,60.8,17.27
381,Verkh-Usugli,74,RU,2021-04-20 23:42:03,38,52.7,115.1667,46.36,2.77
382,Ponta Delgada,40,PT,2021-04-20 23:42:04,100,37.7333,-25.6667,60.8,12.66
383,Campbell River,20,CA,2021-04-20 23:37:30,34,50.0163,-125.2446,68.0,3.44
384,Wasilla,20,US,2021-04-20 23:37:50,47,61.5814,-149.4394,57.2,4.61
385,Sistranda,75,NO,2021-04-20 23:42:04,93,63.7256,8.834,39.2,12.66
386,Saint-Joseph,90,RE,2021-04-20 23:42:05,88,-21.3667,55.6167,75.2,5.75
387,Novominskaya,72,RU,2021-04-20 23:42:06,86,46.3163,38.9586,49.06,18.37
388,Rocafuerte,40,EC,2021-04-20 23:42:06,83,-0.9167,-80.4333,78.8,11.5
389,Mahajanga,20,MG,2021-04-20 23:42:06,83,-15.7167,46.3167,75.2,3.44
390,Gopalpur,0,IN,2021-04-20 23:42:07,92,19.2667,84.9167,79.14,13.33
391,Hearst,100,CA,2021-04-20 23:42:07,73,49.6835,-83.6665,17.6,4.61
392,Hokitika,71,NZ,2021-04-20 23:42:08,63,-42.7167,170.9667,60.08,7.99
393,Kupang,56,ID,2021-04-20 23:42:08,77,-10.1667,123.5833,78.84,3.11
394,Laguna,1,US,2021-04-20 23:42:09,35,38.421,-121.4238,73.99,13.8
395,Muriwai Beach,21,NZ,2021-04-20 23:42:09,82,-36.8167,174.45,68.0,3.0
396,Gizo,23,SB,2021-04-20 23:42:09,71,-8.103,156.8419,84.76,4.38
397,Kaeo,25,NZ,2021-04-20 23:42:10,83,-35.1,173.7833,69.01,8.99
398,Los Chiles,100,CR,2021-04-20 23:42:11,92,11.0333,-84.7167,76.08,3.0
399,Goderich,100,CA,2021-04-20 23:42:11,55,43.7501,-81.7165,35.6,4.61
400,Puerto Escondido,40,MX,2021-04-20 23:42:11,74,15.85,-97.0667,84.2,4.61
401,Washougal,1,US,2021-04-20 23:41:08,18,45.5826,-122.3534,73.99,12.66
402,Merauke,100,ID,2021-04-20 23:42:12,91,-8.4667,140.3333,76.46,13.02
403,Spornoye,75,RU,2021-04-20 23:42:13,100,50.8448,37.2913,39.2,11.18
404,Oxnard,40,US,2021-04-20 23:41:23,67,34.1975,-119.177,66.2,10.36
405,Hirara,75,JP,2021-04-20 23:37:25,88,24.8,125.2833,73.4,16.11
406,Pederneiras,0,BR,2021-04-20 23:42:14,73,-22.3517,-48.775,69.8,9.22
407,Simbahan,100,PH,2021-04-20 23:42:15,77,6.3032,120.5836,82.49,10.49
408,Manicore,0,BR,2021-04-20 23:42:15,83,-5.8092,-61.3003,82.4,0.72
409,Fortuna,90,US,2021-04-20 23:41:44,93,40.5982,-124.1573,54.0,18.41
410,Kavaratti,89,IN,2021-04-20 23:42:16,71,10.5669,72.642,83.25,6.26
411,Canalete,65,CO,2021-04-20 23:42:17,83,8.6761,-76.2042,79.29,8.95
412,Tessalit,95,ML,2021-04-20 23:42:17,6,20.1986,1.0114,82.51,6.33
413,Kieta,34,PG,2021-04-20 23:42:18,74,-6.2167,155.6333,84.6,3.8
414,Honningsvag,6,NO,2021-04-20 23:42:18,81,70.9821,25.9704,40.68,21.61
